countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
AL,Albania,106078,Albanien,1003300,De Paris Hotel,FourStar,Nr. 7 Brigada Viii Street Tirane ,,"Hotel de Paris is a charming boutique hotel that offers stylish rooms and a large courtyard garden perfect for enjoying a relaxing meal outdoors. A private bar with an open fireplace is suitable for a night cap.

Rooms and suites at De Paris are luxuriously furnished and offer air-conditioning, a minibar and a work desk. Every room has a flat-screen TV with satellite channels. Private bathroom provides a hairdryer, a bathrobe and free toiletries.

The hotel is situated in the elegant area of the city full of bars and restaurants, and just a few steps away from the main institutions such as Parliament, Palace of Congress, Opera House, Art Gallery and Main Boulevard.

Ironing, laundry and dry cleaning services are available. The reception is open 24 hours a day and breakfast buffet is served each day.

The nearest bus stop is only 50 metres from the property, while the Main Bus Station can be reached in 300 metres. Tirana Airport is 15 km away.",42268822,Private parking Parking onsite Television in common areas Airport transportation (surcharge) Area shuttle (surcharge) Private check-in/check-out Concierge services Designated smoking areas Air conditioning Non-smoking throughout Free WiFi Free WiFi Luggage storage Fax/photocopying Heating Car hire Currency exchange Internet access Ironing service Breakfast service Family rooms Dry cleaning/laundry service Laundry facilities Airport shuttle Non-smoking rooms Terrace Garden Free newspapers in lobby 24-hour front desk Bar/lounge Meeting rooms Room service Pets allowed Restaurant Free self parking,41.32213|19.81665,00355 4226 5009,1000,https://www.booking.com/hotel/al/de-paris.html
AL,Albania,106078,Albanien,1003301,Hotel Green,FourStar,Rruga Kavajes. Kombinat Km 2. Vaqarr VaqarrTirana ,,"Located in a suburb of Tirana, Hotel Green is just a couple of steps from the national road Tirana-Durres. Surrounded by a garden, the hotel offers an on-site bar and restaurant serving traditional and international dishes.

All rooms are air-conditioned and feature free Wi-Fi, satellite TV and a private bathroom with shower. Guests can park their car for free on site.

Breakfast is served at the hotel restaurant each day. The front desk is open 24 hours a day and room service is available.

The centre of Tirana is 7.4 km away. The famous Blloku Area, an upmarket part of town known as a shopping destination and entertainment site, can be reached in 3 km. Boutiques, shops, restaurants, trendy bars, pubs, and cafes can be found in abundance.

Main Bus Station is 2 km away, while the Train Station can be reached in 2.3 km. Tirana Airport is 18 km  away.",35548520058,airport pick up wifi available in all areas Air conditioning Free WiFi wifi Luggage storage Fax/photocopying Packed lunches express check-in/check-out lift internet services Business centre Airport shuttle Non-smoking rooms 24-hour front desk Bar meeting/banquet facilities Room service Pets allowed Restaurant,41.30413|19.74703,+35548520057,1041,https://www.booking.com/hotel/al/hotel-green.html
AL,Albania,106078,Albanien,1003325,Viktoria,ThreeStar,Rruga E Elbasanit Km 4 Sauk SaukTirana ,,"Located in a new residential area at the edge of Tirana, the eco-friendly Hotel Viktoria Tirana offers air-conditioned rooms with LCD TV and free Wi-Fi. Free private parking is guarded every night, and a public bus leading to the city centre frequently stops by the hotel.

A restaurant serving Albanian and international dishes and a lounge bar can be found on site. A large garden is also at guests disposal. Hotel Viktoria Tirana is equipped with solar panels for heating water and features various other energy-saving systems.

The biggest shopping centre in Albania is in the immediate vicinity. Numerous restaurants, clubs, wellness centres and a gaming centre with bowling alleys and pool tables are within a 1 km radius and can easily be reached by bus.

Front desk can arrange car rental, as well as airport shuttle service. The centre of Tirana is 5 km away and the Central Bus Station is 6 km away. Please inform Hotel Viktoria Tirana in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",+355695406986,internet services Ironing service Family rooms Laundry Airport shuttle Non-smoking rooms Garden 24-hour front desk Bar Room service Restaurant Fire extinguishers CCTV outside property CCTV in common areas 24-hour security wifi available in all areas Daily housekeeping shared lounge/TV area airport shuttle (additional charge) Special diet menus (on request) shuttle service (additional charge) Air conditioning Non-smoking throughout Free WiFi wifi Luggage storage Fax/photocopying Heating Car hire Currency exchange Safety Deposit Box express check-in/check-out,41.29125|19.85349,355 69 5406986,1000,https://www.booking.com/hotel/al/viktoria-sauk-tirana.html
AL,Albania,106078,Albanien,1016189,Hotel Parlamenti,ThreeStar,Rruga Jeronim De Rada 75 1001 Tirana ,,"Hotel Parlamenti is located in the historic centre of Tirana, next to the Albanian Parliament. The Skenderbeg Square and the main promenade can be reached in 5 minutes. The hotel features a bar and dining area where breakfast and lunch are served.

All rooms feature air-conditioning, a TV and a private bathroom with shower, hairdryer and free toiletries. Rooms also feature a balcony. Free Wi-Fi is provided.

There is a Chinese restaurant right next to the hotel, as well as a grocery store. A restaurant serving traditional local specialties is located just 100 metres away.

A spacious park with a promenade can be found just a few hundred metres from Parlamenti Hotel. Tennis and football courts can be reached in 5 km. Tabak Bridge can be reached in 2 minutes on foot, while the National Museum is a 5-minute walk away.

The Main Bus Station is 900 metres from the hotel, while the Train Station is 1.4 km away. Tirana Airport can be reached in 15 km.",0038118526210,Private parking parking on site Private check-in/check-out Entertainment staff designated smoking area Air conditioning Free WiFi wifi Heating express check-in/check-out internet services Free parking Ironing service breakfast in the room Facilities for disabled guests dry cleaning Laundry 24-hour front desk Bar Room service Pets allowed Restaurant Parking,41.32737|19.82521,(355) 42265024,1001,https://www.booking.com/hotel/al/parlamenti.html
AL,Albania,106078,Albanien,1032161,White Dream Hotel,FourStar,Rr. Elbasanit pasi kalon Pallatin e Brigadaveperballe shkolles se Policise ne SaukTirana ,,"Featuring spa and wellness facilities including a swimming pool, gym and massage centre, White Dream Hotel houses a winery and a stylish restaurant. Upon arrival, guests can choose between uniquely designed units which all have free Wi-Fi, air conditioning and an LCD TV.

The modern-style rooms and suites at the White Dream are decorated in different styles and colour schemes. Each unit has a private bathroom with a hairdryer and free toiletries.

Albanian and international specialities are served at the hotels restaurant, and special dietary needs can be catered for. A wide selection of alcoholic and soft beverages can be tasted at the bar, which also attracts local visitors.

Front desk is attended 24 hours a day and offers room service, as well as dry cleaning and ironing services. Free newspapers are available.

Hotel White Dream is located 4 km from the Skanderbeg Square and provides free private parking. The Adriatic Sea is at a distance of 28 km.",00355 42 467 796,use of cleaning chemicals that are effective against coronavirus Swimming pool Fire extinguishers CCTV outside property Smoke alarms Security alarm pool/beach towels Heated pool Pool with view Kid-friendly buffet Children television networks wifi available in all areas Private parking parking on site Daily housekeeping shared lounge/TV area airport shuttle (additional charge) Special diet menus (on request) shuttle service (additional charge) Private check-in/check-out indoor pool (all year) Sun terrace Snack Bar designated smoking area Air conditioning Non-smoking throughout Free WiFi Indoor pool wifi Luggage storage Fax/photocopying Heating Tour desk Packed lunches Shoeshine Hot tub/jacuzzi Spa and wellness centre Safety Deposit Box express check-in/check-out lift internet services Free parking Bridal suite Ironing service breakfast in the room VIP room facilities Family rooms Facilities for disabled guests dry cleaning Laundry Airport shuttle Non-smoking rooms Terrace Fitness centre 24-hour front desk Bar meeting/banquet facilities Room service Restaurant Parking delivered food is securely covered all plates  cutlery  glasses and other tableware have been sanitized cashless payment available hand sanitizer in guest accommodation and key areas staff follow all safety protocols as directed by local authorities food can be delivered to guest accommodation physical distancing in dining areas,41.30625|19.8424,355 4 2467569,1000,https://www.booking.com/hotel/al/white-dream.html
AL,Albania,106078,Albanien,1040272,Ejna,ThreeStar,Street Vaso Pasha Bajram Curri1000 Tirana ,,"Ejna Hotel is located in the popular Blloku District, close to Agimi Cinema and 500 metres from the city centre. Several cultural sights, shops, restaurants and clubs can be found within only 150 metres.
Featuring a multilingual staff, free secured parking and car rental services right in the heart of Tirana, the boutique Hotel Ejna has elegant air-conditioned rooms with free Wi-Fi and a lively bar with a large garden terrace. Each room has LCD satellite TV, while some of them have a terrace.The HOTEL EJNA is a Tourist hotel. Located in Tirana area. Shopping is accessible by bus/taxi and the nightlife/restaurants are easily accessible by taxi or bus from the hotel.",,Room Service-Limited Hours Restaurant High Speed Internet Car Parking - Onsite Free Wheelchair Access Bar,41.3227187|19.8147104,+35544805119,1000,http://www.ejna.al/
AL,Albania,106078,Albanien,1040291,Hotel Relax,All,Rr. Durresit 1001 Tirana ,,"Set 1.9 km from the centre of Tirana, in a business area, Hotel Relax is an elegant hotel reconstructed in 2012. The hotel features a rooftop lounge bar Belvedere that offers unique views of the town and a perfect spot to relax in the evening.

All rooms at Relax Hotel are modernly furnished and air-conditioned. They feature a flat-screen TV with satellite channels, a work desk, a safe and a minibar. Free Wi-Fi is provided throughout the property. The en-suite bathrooms feature free toiletries and a hairdryer.

The hotel also features 24 hour front desk service and free camera-surveilled parking. Laundry and ironing service are available, as well as room service. Breakfast is served in the dining room each morning.

Meeting and banquet facilities are available, as well as car rental, and shuttle service can be arranged at a surcharge. The hotel is located in the vicinity of numerous banks and international businesses. The industrial zone and the shopping centre can be reached in 3 km.

Local buses stop right in front of the hotel, while the Main Train Station can be reached in 2 km. Tirana Airport is 10 km away. Please inform Hotel Relax in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",38118526210,Private check-in/check-out concierge service Snack Bar ATM/cash machine on site designated smoking area Air conditioning Non-smoking throughout Free WiFi wifi Luggage storage Fax/photocopying Heating Car hire Currency exchange Safety Deposit Box express check-in/check-out lift internet services Free parking Ironing service breakfast in the room Family rooms Facilities for disabled guests Laundry Business centre Airport shuttle Non-smoking rooms Terrace 24-hour front desk Bar meeting/banquet facilities Room service Parking bicycle rental Fire extinguishers CCTV outside property CCTV in common areas Smoke alarms Security alarm Key card access Key access 24-hour security Live sport events (broadcast) Happy hour Bike tours Shuttle service airport drop off airport pick up Fruits Wine/champagne Wheelchair accessible Accessible parking Street parking secured parking kids' outdoor play equipment wifi available in all areas Private parking parking on site Daily housekeeping minimarket on site Lockers airport shuttle (additional charge) vending machine (snacks) vending machine (drinks) Trouser press shuttle service (additional charge),41.33724|19.7927,+355689042060,1001,https://www.booking.com/hotel/al/relax.html
AL,Albania,106078,Albanien,1040295,Oxford Hotel,FourStar,Rruga Xhorxhi Martini 10 1000 Tirana Tirana ,,,00355 4 22 55 936,,41.32775|19.82332,+35542255937,1001,https://www.booking.com/hotel/al/vila-alba.html
AL,Albania,106078,Albanien,1058188,Mak Albania Hotel,FiveStar,Sheshi Italia Tirana ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Air Albania Stadium - 0.1 km / 0.1 mi <br /> University of Tirana - 0.2 km / 0.1 mi <br /> Grand Park of Tirana - 0.4 km / 0.2 mi <br /> Palace of Congress - 0.4 km / 0.3 mi <br /> Congress Building - 0.5 km / 0.3 mi <br /> Enver Hoxha Pyramid - 0.7 km / 0.5 mi <br /> Artificial Lake of Tirana - 0.8 km / 0.5 mi <br /> Pyramid - 0.8 km / 0.5 mi <br /> Artificial Lake Park Playground - 0.8 km / 0.5 mi <br /> Former Residence of Enver Hoxha - 1 km / 0.6 mi <br /> Regency Casino - 1.1 km / 0.7 mi <br /> Toptani Shopping Center - 1.2 km / 0.8 mi <br /> Tirana Parliament - 1.2 km / 0.8 mi <br /> Ministry of Defense - 1.2 km / 0.8 mi <br /> National Art Gallery - 1.3 km / 0.8 mi <br /> </p><p>The preferred airport for Mak Albania Hotel is Nene Tereza Intl. Airport (TIA) - 23.8 km / 14.8 mi </p>,"<p>HeadLine : Near Air Albania Stadium</p><p>Location : A stay at Mak Albania Hotel places you in the heart of Tirana, steps from Air Albania Stadium and 3 minutes by foot from University of Tirana.  This 5-star hotel is 2 mi (3.2 km) from Ministry of Defense and 1.1 mi (1.8 km) from Skanderbeg Square.</p><p>Rooms : Make yourself at home in one of the 151 air-conditioned rooms featuring refrigerators and plasma televisions. Complimentary wired and wireless Internet access keeps you connected, and satellite programming provides entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Conveniences include phones, as well as safes and desks.</p><p>Dining : For lunch or dinner, stop by Metropolitan Restaurant, a restaurant that specializes in international cuisine. Dining is also available at the coffee shop/cafe, and 24-hour room service is provided. Relax with your favorite drink at the bar/lounge or the poolside bar. Buffet breakfasts are available daily from 6:30 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>This property reserves the right to pre-authorize the guest s credit card prior to arrival.</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",355-4-2274711,24-hour business center Concierge services Conference space size (feet) - 10764 Pool sun loungers ATM/banking Terrace Computer station Hair salon Conference space Free self parking Sauna Children's pool Safe-deposit box at front desk Outdoor seasonal pool 24-hour front desk Luggage storage Couples/private dining 24-hour fitness facilities Wedding services Free newspapers in lobby Stair-free path to entrance Garden Wheelchair-accessible pool Wheelchair-accessible fitness center Television in common areas Wheelchair-accessible registration desk Wheelchair-accessible concierge desk Wheelchair accessible (may have limitations) elevator Laundry facilities Number of coffee shops/cafes - 1 Coffee/tea in common areas Wheelchair-accessible meeting spaces/business center Breakfast available (surcharge) Conference center Multilingual staff Wheelchair-accessible on-site restaurant Wheelchair-accessible lounge Airport transportation (surcharge) Tours/ticket assistance Wheelchair accessible parking Number of indoor pools - 1 Number of poolside bars - 1 Designated smoking areas Number of bars/lounges - 1 Free WiFi Free wired Internet Conference space size (meters) - 1000 Number of meeting rooms - 4 Proposal/romance packages available Dry cleaning/laundry service,41.31723|19.82361,355-42-274707,1000,http://www.starwoodhotels.com
AL,Albania,106078,Albanien,1098381,Albion,ThreeStar,LAGJA NR 13 PLAZH DURRES DURRES ,Berat : within 130000 metre  Tower of the city: within 3000 metre  Old Amfitheatre : within 3000 metre  Residence of Ex King of Albania: within 4000 metre  National Historic Museum: within 35000 metre ,"We would like to cordially welcome groups travelers and indipendent visitor to us. Beach Hostel Albion is a great choice to fulfill all of your needs and expectations. The rooms are spacious, in pink nice colour, newly refurbished, have a balcony, a private bathroom and a minibar. Valuable items may be left at reception for storage in our hotel safe. There is a unique micro-brewery attached to the hotel and the beer is very decent, nice can be enjoyed in the bar. Our convivial hotel bar is a great place to meet new friends.
The centre of Durres, the Roman Amphitheatre are 3 km away from the Albion Hotel. The port is 3km from Albion.The aiport is 25 km from Hotel. A bus stop can be found 100 metres away Wi-fi is in the public areas.
Our hotel accepts the following credit cards as payment options: Visa, MasterCard. The hotel's experienced staff looks forward to your stay with us!",,Tennis Volleyball Table tennis Breakfast and lunch Breakfast and dinner Massage Pub TV lounge Photocopier Secretarial service Air conditioning in Restaurant Smoking area Non-smoking area Restaurant Bar Terrace Lift access Currency exchange facilities Smoke detector Air conditioning in public areas 24-hour security Multilingual staff Medical service Laundry service Secure parking Transfer service Minibar Maestro Visa MasterCard Hotel,41.30492|19.49671,,355,http://www.hotelalbion.al
